identifiant,genre,date_naissance,region,departement,diplome,csp,revenu_mensuel,vaccination,confinement_respect,precaution,risque_declare,risque_jeu,patience,cooperation,comportement
kr47kq5i,0,1972,3,37,8,5,4,2,8,4,6,7,4,10,33.234
zs6oyw4r,0,1961,12,84,6,5,1,0,9,2,2,56,4,10,73.711
ekqbhjos,1,1953,1,90,3,7,3,2,8,5,4,50,7,10,54.856
nowjifda,0,1991,0,74,8,4,6,2,10,5,5,55,5,0,54.856
0zl4bwyt,0,1943,12,04,8,7,2,2,7,4,7,30,8,16,57.804
mvq2ps30,0,1957,10,34,8,7,1,0,8,4,6,43,7,10,54.856
b3u7k668,1,1951,7,75,7,7,5,2,8,4,3,43,5,6,62.296
vt2eyjsu,0,1965,9,47,3,4,3,2,9,5,6,35,6,20,54.856
s0c9ynx9,1,1988,7,78,8,3,5,2,8,4,7,35,3,10,34.114
sezq9xr8,1,1952,9,64,1,7,1,2,5,4,5,45,5,0,59.294
shp3lq7l,1,1955,2,56,2,7,2,2,7,5,6,62,8,20,57.804
a00ipiij,0,1985,7,75,9,3,1,2,10,5,0,1,5,0,56.977
6w01bfqw,0,1976,7,91,8,4,5,2,9,4,3,4,9,10,62.115
j2h58ifl,1,1940,7,75,8,7,4,2,7,5,4,2,6,20,23.964
vb9ljpqm,0,1954,12,05,7,7,3,2,7,4,2,39,5,10,45
weomztkh,1,1985,6,59,6,4,4,1,8,4,0,10,3,0,45
r9qs1hmw,0,1958,2,56,5,7,3,2,5,4,5,13,7,20,54.856
hef630wg,0,1984,6,59,8,3,2,2,9,4,5,35,6,10,45
1pf3wlop,0,1985,7,75,8,4,3,2,8,4,10,50,7,20,57.804
x5yscdg3,1,1952,0,38,0,7,2,0,9,2,4,14,5,20,81.469
abw5rkl5,0,1952,9,24,3,7,3,2,8,5,2,6,8,12,67.618
6egq03ms,0,1994,12,13,8,3,4,2,9,3,8,4,4,0,57.804
wykib6dt,1,1997,5,67,8,8,1,2,6,4,4,22,4,10,57.804
txv0kr21,1,1954,1,21,0,7,-1,2,5,4,0,1,10,0,50.71
t0ark3gx,0,1997,1,21,8,4,4,2,10,4,4,32,4,10,80.362
buaxrvmf,1,1984,10,0,6,4,1,2,9,3,5,5,6,12,54.856
a9527f5e,0,1959,9,33,8,3,-1,1,9,4,8,20,7,10,57.804
ulc5h7y3,0,1983,7,92,8,3,6,2,7,5,8,52,4,20,57.804
vu2lgkq7,0,1987,10,31,9,3,0,2,7,4,2,40,6,10,54.856
olb7shq7,0,1954,10,09,0,7,3,2,8,4,5,7,8,0,57.804
i3ji5e8r,1,1984,2,35,5,4,3,2,9,5,6,48,9,10,55.354
319zn6i9,1,1955,0,74,6,3,3,2,10,5,8,49,3,20,54.856
bwd930uu,0,1989,10,81,0,8,1,0,7,4,4,16,1,0,81.209
9bznmu7l,0,1953,11,49,8,7,1,0,6,4,8,50,9,10,57.804
1k4e2wmh,0,1994,0,69,6,4,3,2,9,4,5,20,5,10,57.804
zhc1frpp,1,1985,10,81,5,6,0,0,8,5,3,30,8,0,60.255
9ok7379m,1,1997,0,69,5,8,3,2,8,5,8,64,2,20,45
2qwcp8vz,1,1970,12,06,7,3,8,2,10,4,7,17,0,20,80.362
